Tipo de Muestra,Numero,area,perimetro,largo,ancho,volumen,superficie,espesor,espesor medio,intensidad media,contraste medio,suavidad,asimetria,uniformidad,aleatoriedad,Rp,area convex hull,perimetro convex hull,Ra,Rv,Rs,superficie convex hull,volumen convex hull,enlongacion Feret 2D,convexidad Feret 2D,solidez Feret 2D,factor de forma 2D,circularidad,rectangularidad,compacticidad 2D,relacion de aspecto 2D,redondez 2D,curvatura 2D,solidez 2D,convexidad 2D,area de defecto,factor de Paris 2D,extension 2D,indice de concavidad 2D,enlongacion Feret 3D,convexidad Feret 3D,solidez Feret 3D,relacion de aspecto 3D,planitud,factor de forma 3D,esfericidad,paralelepipedad,compacticidad 3D,redondez 3D,curvatura 3D,solidez 3D,convexidad 3D,volumen de defecto,factor de Paris 3D,extension 3D,indice de concavidad 3D,factor de Wilson-Huang,factor de Dellino,clase
N4,172_1,1150.6,490.8,52.58,47.53,84172.2465,43690.08,190.12,73.15,8.71640626,4.81228441,0.95860598,24.33363705,99.13381933,2.838385343,78.112,1641.599,216.493,19.138,27.187,58.964,24451.29033,203856.8667,2.4030143,0.7630412,1.3228338,0.0600255,0.245001,2.4511054,0.4603363,0.904,0.529851,2.9710438,0.7009048,2.2670288,0.4267273,2.5340576,0.6567743,1.3018525,81.6455464,4.6442512,17.6512187,1.461385,3.9996699,0.0980214,0.2125921,1.0144438,0.1771268,0.0233921,0.3847383,0.4128988,1.7868212,1.4219012,1.5736425,0.4289836,0.9817207,2.2598508,0.0520853,1
N4,172_2,272.16,235.58,25.24,24.4,12824.3547,11183.77,137.62,47.12,5.61450399,2.43713285,0.85589982,20.3593365,37.46227159,2.365846366,37.494,404.707,110.369,9.308,14.521,29.832,7755.508104,31015.00872,2.3407022,0.7184297,1.2362729,0.0616234,0.2482407,2.3730024,0.441954,0.9666667,0.5439562,2.9710438,0.6724783,2.1344862,0.4870367,2.2689724,0.6572019,1.1808172,203.231352,7.6716792,44.0000269,1.8986002,5.6404817,0.1153133,0.2369116,0.7509037,0.1513277,0.0093975,0.1879695,0.4134887,1.4420418,1.418446,0.8840835,0.3659779,0.7344361,3.2095662,0.0588111,1
N4,172_3,956.88,504.78,65.2,40.17,47943.5359,30339.35,136.74,50.1,5.96988193,2.0100475,0.80159876,5.722632326,39.67978119,2.491250598,80.337,1691.522,233.664,17.452,22.536,49.136,18868.39084,141144.1561,4.4429034,0.8766401,1.9739583,0.0471925,0.2172383,2.3951302,0.3653099,0.616129,0.2865783,2.4642529,0.5656935,2.160263,0.7677416,2.320526,0.6457735,1.2388835,53.328067,3.1131899,9.4846569,0.9509598,3.403774,0.0964821,0.2103607,0.8908463,0.1338558,0.0358134,0.5164947,0.3396778,1.607946,1.9439663,1.215892,0.394067,0.8975654,1.3566465,0.0456984,1
N4,172_4,249.73,165.09,26.92,16.83,11799.1907,9094.62,142.27,47.25,5.62963804,2.42865731,0.85503835,10.34926247,37.59120082,2.342289874,26.274,323.042,96.562,8.916,14.123,26.902,6897.318673,24167.42347,2.9023915,0.8759045,1.7621916,0.1151484,0.3393352,1.8867513,0.5512695,0.625,0.4386864,1.9518576,0.7730494,1.7096408,0.2935784,1.4192816,0.7131104,0.7450481,244.0589138,9.2193615,62.3900255,2.1599876,8.4552105,0.1446778,0.2755928,0.6810248,0.1830772,0.0078254,0.1430222,0.4882271,1.3185729,1.0482272,0.6371458,0.3749836,0.6028269,2.9547533,0.0935183,1
N4,174_1,1622.06,739.17,76.77,42.28,103555.2556,50721.23,166.95,63.84,7.60677922,3.06546307,0.903819,24.61847343,67.26015392,2.811587398,117.642,2513.102,280.43,22.723,29.131,63.532,28354.24295,285781.508,3.6334752,0.8600427,1.8419084,0.037307,0.1931503,3.1045236,0.4997751,0.5506849,0.3504192,3.0647754,0.6454401,2.6358377,0.5493304,3.2716754,0.7743168,1.6738213,44.9341041,3.0881423,8.5253601,1.0725524,3.9489848,0.0964081,0.2102531,1.0968998,0.1911164,0.0425036,0.5792611,0.3623581,1.7888408,1.7597007,1.5776816,0.5274242,1.0143259,1.3626657,0.0406104,1
N4,174_2,109.54,74.36,14.3,13.46,6534.9307,4361.11,127.5,59.66,7.10857493,2.46365049,0.85854876,16.10858753,56.60141128,2.749579652,11.835,126.733,60.025,5.905,11.598,18.629,3065.753736,6794.481854,1.8675283,0.7485653,1.2677131,0.2489147,0.4989135,1.3392174,0.5689338,0.9411765,0.6817779,1.6549932,0.8642988,1.2388704,0.1570073,0.4777409,0.6582606,0.2747251,317.165973,16.6583119,159.7238805,4.2977658,9.4717013,0.2413084,0.387598,0.5842269,0.2662199,0.0060216,0.0853942,0.9617997,1.4225229,0.0397175,0.8450459,0.2767935,0.4242463,4.9278595,0.1933779,1
N4,174_3,386.34,295.67,33.44,23.56,19922.7433,13372.4,111.78,51.57,6.14437734,1.72859593,0.7492505,2.414808061,40.74141684,2.558019166,47.057,599.667,133.552,11.089,16.817,32.621,7770.395644,38353.80024,2.8948815,0.7866812,1.4647942,0.0555355,0.2356597,2.5935946,0.4903976,0.7044025,0.4398244,2.8141963,0.6442522,2.2138754,0.5521871,2.4277508,0.7611888,1.2649308,70.1119164,5.0520471,19.069144,1.8094339,4.7452717,0.1370129,0.265771,0.9339,0.2262305,0.0272402,0.3406424,0.5194464,1.7209415,0.9251265,1.4418831,0.4355224,0.8664228,2.0234919,0.0626315,1
N4,174_4,440.75,274.25,39.12,26.92,20478.9052,14727.79,116.33,46.46,5.53616221,1.85431442,0.77469774,6.133796882,34.08757396,2.387576597,43.648,622.671,137.623,11.845,16.972,34.234,8850.960347,44531.45954,3.4724481,0.8930432,1.9304549,0.073639,0.2713652,2.0762817,0.4184728,0.688172,0.3666691,2.2314291,0.7078382,1.9927627,0.4127522,1.9855254,0.5911983,1.0348605,76.8659245,4.8030806,18.5085452,1.4070622,4.3208482,0.1218503,0.2457825,0.8429478,0.167148,0.0248466,0.3464394,0.459875,1.6639765,1.1745039,1.3279531,0.363464,0.8559205,1.8308295,0.0666968,1
N4,175_1,692.65,294.77,40.59,30.92,35827.4022,17611.61,161.12,51.73,6.1630965,3.6520432,0.93025244,24.29365336,51.32117804,2.325615709,46.915,853.442,153.095,14.848,20.451,37.436,12757.17339,73418.91701,2.3790637,0.8330023,1.5164667,0.1001708,0.3164977,2.0610083,0.5518663,0.761658,0.5351851,2.3114339,0.8115904,1.9254296,0.2321486,1.8508593,0.6799813,0.9444142,116.7514186,6.393133,29.8310221,1.4466191,5.2112344,0.1630208,0.2984205,0.6891702,0.1771655,0.0163583,0.2159388,0.487986,1.3805257,1.0492392,0.7610514,0.3630544,0.6379327,2.3654183,0.0944494,1
N4,175_2,493.22,219.52,30.08,28.18,24020.4054,17026.02,167.87,48.7,5.80278685,3.06423697,0.90374942,43.2334773,43.06188338,2.363449065,34.938,605.44,127.141,12.53,17.899,36.809,11333.49185,56428.61513,1.8341555,0.7431937,1.1735277,0.1286184,0.3586341,1.8839163,0.5818286,0.9370629,0.694183,2.3231939,0.814643,1.7265831,0.2275316,1.4531662,0.714213,0.7498535,196.955685,7.8118166,43.8983386,1.6718256,5.956305,0.1149839,0.2364601,0.8009781,0.1687929,0.0096969,0.192308,0.4256777,1.5022746,1.349195,1.0045493,0.3965274,0.7629717,3.2592478,0.0848027,1
